"customer_id","age","customer_id (right)","visit_count"
"acADA9E049CD41C",28,"acADA9E049CD41C",2
"10edd0E630be460",28,"10edd0E630be460",3
"d2075b525cdCaD0",63,"d2075b525cdCaD0",2
"9b9b0DC5dadB1B4",70,"9b9b0DC5dadB1B4",3
"4afFe9d1Eea6D8A",70,"4afFe9d1Eea6D8A",2
"EF1ef8e125eA511",63,"EF1ef8e125eA511",3
"0EcC79F10aaebfC",21,"0EcC79F10aaebfC",5
"1E6F5f51cBb4b4a",42,"1E6F5f51cBb4b4a",4
"6dA8bE20b4EaE64",21,"6dA8bE20b4EaE64",5
"a7e30BcF8d0C49C",63,"a7e30BcF8d0C49C",2
"6fdeefFcBa6Afb7",35,"6fdeefFcBa6Afb7",2
"c28ccdA5e9Af946",42,"c28ccdA5e9Af946",3
"7FD0d9c7A3dA50C",21,"7FD0d9c7A3dA50C",5
"1E4a9aE5d7eB44a",21,"1E4a9aE5d7eB44a",5
"B03b3EeBd7Fa933",28,"B03b3EeBd7Fa933",3
"DA3cdec1A3E2F1F",21,"DA3cdec1A3E2F1F",6
"D8204e5fAFf2FFa",21,"D8204e5fAFf2FFa",6
"a783ffEE4114D81",42,"a783ffEE4114D81",5
"DE6BeCc0dEbB0e9",14,"DE6BeCc0dEbB0e9",5
"586a5d1b4eeFF83",35,"586a5d1b4eeFF83",4
"4bA39cf61Da31Cd",14,"4bA39cf61Da31Cd",6
"8f6b1E4cfcD1117",28,"8f6b1E4cfcD1117",2
"4894bdD80A432dB",28,"4894bdD80A432dB",6
"8FeAb1CE14c2A46",49,"8FeAb1CE14c2A46",4
"80AA909BbD1E648",14,"80AA909BbD1E648",6
"d0d98cF837DC9ca",42,"d0d98cF837DC9ca",4
"AfaFDfCe0Cf2ae1",21,"AfaFDfCe0Cf2ae1",7
"6eFBf1edf8cEFA7",70,"6eFBf1edf8cEFA7",2
"F3eddE8eBFEe057",21,"F3eddE8eBFEe057",5
"eBC7D2abB13ed9e",7,"eBC7D2abB13ed9e",5
"46fBBc1edDDEd41",21,"46fBBc1edDDEd41",5
"b6a2f7fa46fBa9d",35,"b6a2f7fa46fBa9d",2
"142bBDDc0ccBe8f",70,"142bBDDc0ccBe8f",3
"3cd58f1bE8AC71D",35,"3cd58f1bE8AC71D",2
"1012Fac8357F0Db",14,"1012Fac8357F0Db",5
"E865ba0d4a7BbF5",28,"E865ba0d4a7BbF5",2
"0E01e503C0d231f",70,"0E01e503C0d231f",2
"Bbac2D0d2771F7b",70,"Bbac2D0d2771F7b",2
"c81A953c077fcAe",28,"c81A953c077fcAe",2
"6903dEb1E791F61",21,"6903dEb1E791F61",5
"0ddFDE8E2bD05be",42,"0ddFDE8E2bD05be",5
"4836e5A4CDDc063",77,"4836e5A4CDDc063",2
"9E72DC214CE303f",14,"9E72DC214CE303f",6
"e917BeafeFE4FA8",21,"e917BeafeFE4FA8",5
"5Ba9b5a11AfAFcA",14,"5Ba9b5a11AfAFcA",5
"bFc0A0D9AAeA035",21,"bFc0A0D9AAeA035",6
"DE331D31CD25Cce",70,"DE331D31CD25Cce",3
"f1cEEf7C0c8A5E3",49,"f1cEEf7C0c8A5E3",4
"0Daa2A3cB023798",21,"0Daa2A3cB023798",7
"7Cd72fF40f04B3a",70,"7Cd72fF40f04B3a",2
"dddFbb900bead36",14,"dddFbb900bead36",6
"7C1B699aa111D0D",42,"7C1B699aa111D0D",4
"9850487E764db0F",42,"9850487E764db0F",3
"Fc4fEA9cCeaDFFa",28,"Fc4fEA9cCeaDFFa",5
"Db9A98Da3Ed7bc4",21,"Db9A98Da3Ed7bc4",3
"1Dcf552ccd918c3",63,"1Dcf552ccd918c3",2
"EFF268c26540FDf",14,"EFF268c26540FDf",6
"aB76F8eDCB2E6F9",35,"aB76F8eDCB2E6F9",3
"eA71ae3Ea9Ad9eC",49,"eA71ae3Ea9Ad9eC",4
"A0Cc9cABB366A4d",28,"A0Cc9cABB366A4d",3
"d041Ee3EDcb786e",35,"d041Ee3EDcb786e",4
"d726afedF39EBbA",70,"d726afedF39EBbA",2
"eBEa938fdDc5FAD",35,"eBEa938fdDc5FAD",2
"109EeCE541F1b02",14,"109EeCE541F1b02",5
"EDAcCD78DEf26aB",21,"EDAcCD78DEf26aB",5
"DbACeEedD6D162e",77,"DbACeEedD6D162e",2
"44965d0Ea3C8f3e",35,"44965d0Ea3C8f3e",2
"83aBc96A0DD192d",7,"83aBc96A0DD192d",5
"d3D0E0E4E401cF8",28,"d3D0E0E4E401cF8",2
"F0FF9bbAD6Dbf3B",21,"F0FF9bbAD6Dbf3B",7
"Ba4Ab91eAc02afa",42,"Ba4Ab91eAc02afa",4
"6AFB8F7E322e1A2",35,"6AFB8F7E322e1A2",2
"0f9A8090fed6bFF",70,"0f9A8090fed6bFF",2
"73174Aa7b56ad1a",14,"73174Aa7b56ad1a",6
"E357741ffAADE0C",35,"E357741ffAADE0C",5
"bc7CcDa43aD719B",42,"bc7CcDa43aD719B",5
"73ACd27ecEDe08a",70,"73ACd27ecEDe08a",4
"2decd8fB7312AD0",42,"2decd8fB7312AD0",5
"d4bFDfAad3A85F5",14,"d4bFDfAad3A85F5",6
"bdeD2a879e8257A",28,"bdeD2a879e8257A",2
"ED8adC235032a2F",21,"ED8adC235032a2F",5
"1cdB1cEFBdb51db",35,"1cdB1cEFBdb51db",5
"d343ea3C9cdEe6e",77,"d343ea3C9cdEe6e",3
"2B9cA6e14796d7F",70,"2B9cA6e14796d7F",2
